adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/zuxSfx7ZNzBsXE0f0lSGrfRB01e.jpg,"[35, 10749, 18]",9541,en,Jersey Girl,"Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter.",12.279,/4h71riuBr3xYdtcHjKlHGFo32nQ.jpg,2004-03-25,Jersey Girl,False,6.1,838
False,/ixZVR1WpD1jI8lrnoGmNQuF1j8j.jpg,"[18, 36]",1165,en,The Queen,"The Queen is an intimate behind the scenes glimpse at the interaction between HM Elizabeth II and Prime Minister Tony Blair during their struggle, following the death of Diana, to reach a compromise between what was a private tragedy for the Royal family and the public's demand for an overt display of mourning.",12.276,/v08RH5Cx9EFAQMBWQuE5jHAgHYs.jpg,2006-09-15,The Queen,False,7.0,1009
False,/shIOFWkjTn2NRvq5r4Mn2xLdZeJ.jpg,"[18, 80, 35]",401847,en,Can You Ever Forgive Me?,"When a bestselling celebrity biographer is no longer able to get published because she has fallen out of step with current tastes, she turns her art form to deception.",12.261,/hPuZR2bFoV0kuBrA98exWyvTf40.jpg,2018-10-19,Can You Ever Forgive Me?,False,6.8,1061
False,/qTVgXx0pgBmsGqc8wJsfbd71ppa.jpg,[35],9718,en,Talladega Nights: The Ballad of Ricky Bobby,"The fastest man on four wheels, Ricky Bobby is one of the greatest drivers in NASCAR history. A big, hairy American winning machine, Ricky has everything a dimwitted daredevil could want, a luxurious mansion, a smokin' hot wife and all the fast food he can eat. But Ricky's turbo-charged lifestyle hits an unexpected speed bump when he's bested by flamboyant Euro-idiot Jean Girard and reduced to a fear-ridden wreck.",12.26,/3iCiTqsmJz1mO85AHzTiHNkRmb6.jpg,2006-08-04,Talladega Nights: The Ballad of Ricky Bobby,False,6.4,1306
False,/a0pGlyMne7jQX8ns5BUbwsYPLIk.jpg,"[18, 10749]",713,en,The Piano,"After a long voyage from Scotland, pianist Ada McGrath and her young daughter, Flora, are left with all their belongings, including a piano, on a New Zealand beach. Ada, who has been mute since childhood, has been sold into marriage to a local man named Alisdair Stewart. Making little attempt to warm up to Alisdair, Ada soon becomes intrigued by his Maori-friendly acquaintance, George Baines, leading to tense, life-altering conflicts.",12.25,/dUxjG6baSzGIgP7R8BQI5rpMuET.jpg,1993-05-19,The Piano,False,7.4,1143
False,/1lpo47zV1ly4JeGDBrjTePMXML4.jpg,"[18, 36, 53]",1852,en,World Trade Center,"Two police officers struggle to survive when they become trapped beneath the rubble of the World Trade Center on September 11, 2001.",12.248,/bfTiVc8kxq8uRXeblV3Ct35APGu.jpg,2006-08-09,World Trade Center,False,6.1,1378
False,/eyUXxRholD2QO9UzXWZYwW5kZw2.jpg,"[35, 10751, 10749]",13499,en,"Yours, Mine & Ours","Admiral Frank Beardsley returns to New London to run the Coast Guard Academy, his last stop before a probable promotion to head the Guard. A widower with eight children, he runs a loving but tight ship, with charts and salutes. The kids long for a permanent home. Helen North is a free spirit, a designer whose ten children live in loving chaos, with occasional group hugs. Helen and Frank, high school sweethearts, reconnect at a reunion, and it's love at first re-sighting. They marry on the spot. Then the problems start as two sets of kids, the free spirits and the disciplined preppies, must live together. The warring factions agree to work together to end the marriage.",12.232,/1SfsoUYXRRrfL31br8q4DlTYvKK.jpg,2005-11-23,"Yours, Mine & Ours",False,6.1,701
False,/cScnK7R40MebHqx7KCa4YUt4jBV.jpg,"[53, 9648]",12103,en,Don't Say a Word,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..",12.228,/qx3hgW9MqxsEEFjx4eSbpp1Fe2l.jpg,2001-09-28,Don't Say a Word,False,6.2,731
False,/4h4u0qZvaxdtbLuhmMqVAVbd59K.jpg,"[12, 10751, 18, 35]",8326,en,Holes,"Stanley's family is cursed with bad luck. Unfairly sentenced to months of detention at Camp Green Lake, he and his campmates are forced by the warden to dig holes in order to build character. What they don't know is that they are digging holes in order to search for a lost treasure hidden somewhere in the camp.",12.221,/w3KHhv3Lb42lqdd95mAxYwM4AcF.jpg,2003-04-18,Holes,False,6.8,1084
False,/uzlGbsQkpK6C3ZiqRqKw9CwK0Do.jpg,"[28, 14, 27]",9945,en,Vampires,The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,12.217,/iBkoNEyjXNlruGxuiBbUS4iReeq.jpg,1998-10-30,Vampires,False,6.3,958
