movie_id,cast
43347,"['Jake Gyllenhaal', 'Anne Hathaway', 'Oliver Platt']"
269149,"['Jason Bateman', 'Ginnifer Goodwin', 'Idris Elba']"
150540,"['Amy Poehler', 'Phyllis Smith', 'Bill Hader']"
102651,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']"
9637,"['Freddie Prinze Jr.', 'Sarah Michelle Gellar', 'Matthew Lillard']"
341174,"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson']"
324852,"['Steve Carell', 'Kristen Wiig', 'Trey Parker']"
373571,"['Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown']"
49530,"['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy']"
567189,"['Michael B. Jordan', 'Jamie Bell', 'Guy Pearce']"
338967,"['Woody Harrelson', 'Jesse Eisenberg', 'Emma Stone']"
8960,"['Will Smith', 'Charlize Theron', 'Jason Bateman']"
634528,"['Liam Neeson', 'Katheryn Winnick', 'Teresa Ruiz']"
574060,"['Karen Gillan', 'Lena Headey', 'Chloe Coleman']"
136797,"['Aaron Paul', 'Dominic Cooper', 'Imogen Poots']"
283995,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']"
10020,"[""Paige O'Hara"", 'Robby Benson', 'Richard White']"
411,"['Georgie Henley', 'Skandar Keynes', 'William Moseley']"
521029,"['Mckenna Grace', 'Madison Iseman', 'Katie Sarife']"
68721,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']"
1726,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']"
559,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']"
294254,"[""Dylan O'Brien"", 'Ki Hong Lee', 'Kaya Scodelario']"
505026,"['Kenneth Branagh', 'Gal Gadot', 'Armie Hammer']"
72105,"['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane']"
4564,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis']"
38365,"['Adam Sandler', 'Kevin James', 'Chris Rock']"
384018,"['Dwayne Johnson', 'Jason Statham', 'Idris Elba']"
591274,"['Sadie Sink', 'Emily Rudd', 'Ryan Simpkins']"
13186,"['Erica Leerhsen', 'Henry Rollins', 'Texas Battle']"
345938,"['Sam Worthington', 'Octavia Spencer', 'Tim McGraw']"
166428,"['Jay Baruchel', 'America Ferrera', 'F. Murray Abraham']"
140607,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher']"
284054,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o""]"
76341,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']"
181812,"['Carrie Fisher', 'Mark Hamill', 'Daisy Ridley']"
9502,"['Jack Black', 'Dustin Hoffman', 'Angelina Jolie']"
336843,"[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster']"
335797,"['Matthew McConaughey', 'Reese Witherspoon', 'Seth MacFarlane']"
810,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']"
618162,"['Jonathan Majors', 'Idris Elba', 'Regina King']"
727745,"['Joey King', 'Joel Courtney', 'Jacob Elordi']"
109418,"['Adam Sandler', 'Kevin James', 'Chris Rock']"
495764,"['Margot Robbie', 'Ewan McGregor', 'Mary Elizabeth Winstead']"
260346,"['Liam Neeson', 'Forest Whitaker', 'Famke Janssen']"
181808,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver']"
420809,"['Angelina Jolie', 'Elle Fanning', 'Harris Dickinson']"
398818,"['Timothée Chalamet', 'Armie Hammer', 'Michael Stuhlbarg']"
337339,"['Vin Diesel', 'Jason Statham', 'Dwayne Johnson']"
396422,"['Stephanie Sigman', 'Talitha Bateman', 'Lulu Wilson']"
646380,"['Jennifer Lawrence', 'Leonardo DiCaprio', 'Meryl Streep']"
9732,"['Matthew Broderick', 'Neve Campbell', 'Jason Marsden']"
576845,"['Thomasin McKenzie', 'Anya Taylor-Joy', 'Matt Smith']"
11836,"['Tom Kenny', 'Bill Fagerbakke', 'Mr. Lawrence']"
9487,"['Dave Foley', 'Kevin Spacey', 'Julia Louis-Dreyfus']"
62177,"['Kelly Macdonald', 'Billy Connolly', 'Emma Thompson']"
260513,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']"
10567,"['D.B. Sweeney', 'Alfre Woodard', 'Ossie Davis']"
449406,"['Lin-Manuel Miranda', 'Ynairaly Simo', 'Zoe Saldana']"
527641,"['Haley Lu Richardson', 'Cole Sprouse', 'Moisés Arias']"
11322,"['Johnny Depp', 'Christian Bale', 'Marion Cotillard']"
10198,"['Anika Noni Rose', 'Bruno Campos', 'Keith David']"
512200,"['Dwayne Johnson', 'Kevin Hart', 'Jack Black']"
9806,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']"
